"municipio","latitude","longitude"
"Araguaína",-7.193241,-48.2018597
"Figueirópolis",-12.1347916,-49.1737141
"Palmas",-10.1837852,-48.3336423
"Wanderlândia",-6.8522727,-47.9653917
"Mateiros",-10.5462254,-46.417423
"Muricilândia",-7.14669,-48.609135
"Pequizeiro",-8.594846,-48.9332775
"Alvorada",-12.478465,-49.124926
"Couto Magalhães",-8.360583,-49.1773955
"Darcinópolis",-6.7085964,-47.7524283
"Monte Santo do Tocantins",-10.0051944,-48.9927531
"Nazaré",-6.3733313,-47.6632702
"Ponte Alta do Tocantins",-10.7454591,-47.5374479
"São Miguel do Tocantins",-5.5549817,-47.5747649
"Sítio Novo do Tocantins",-5.6028662,-47.6349901
"Cariri do Tocantins",-11.8882727,-49.1604216
"Guaraí",-8.835429,-48.511432
"Gurupi",-11.72794,-49.068046
"Paranã",-12.616747,-47.873378
"São Sebastião do Tocantins",-5.2587094,-48.2055574
"Tocantinópolis",-6.3280931,-47.4217673
"Carrasco Bonito",-5.3205734,-48.0376667
"Itaguatins",-5.7696766,-47.4815382
"Taguatinga",-12.402404,-46.4365769
"Fortaleza do Tabocão",-9.0565211,-48.5216745
"Pedro Afonso",-8.9757351,-48.1733282
"Porto Nacional",-10.7019786,-48.4110952
"Ananás",-6.3663053,-48.080238
"Araguanã",-6.5799107,-48.6428482
"Augustinópolis",-5.4662267,-47.8897519
"Axixá do Tocantins",-5.612747,-47.77007
"Bandeirantes do Tocantins",-7.7635698,-48.579148
"Colinas do Tocantins",-8.0612688,-48.4716768
"Dianópolis",-11.624008,-46.819787
"Miracema do Tocantins",-9.5617939,-48.3966536
"Miranorte",-9.529068,-48.592222
"Nova Olinda",-7.631712,-48.425232
"Paraíso do Tocantins",-10.1752474,-48.886759
"Santa Terezinha do Tocantins",-6.4356048,-47.673061
"Abreulândia",-9.6221526,-49.1558343
"Aguiarnópolis",-6.5600452,-47.4721189
"Aliança do Tocantins",-11.3055927,-48.9409096
"Aragominas",-7.1654101,-48.525488
"Araguatins",-5.6529384,-48.1161923
"Aurora do Tocantins",-12.71045,-46.407604
"Barrolândia",-9.837246,-48.7264346
"Buriti do Tocantins",-5.3187439,-48.2256609
"Chapada da Natividade",-11.6119239,-47.7538517
"Dueré",-11.341631,-49.271566
"Fátima",-10.7575656,-48.9031328
"Formoso do Araguaia",-11.8059989,-49.5257153
"Goiatins",-7.7132054,-47.3154841
"Maurilândia do Tocantins",-5.951688,-47.512492
"Palmeiras do Tocantins",-6.6096035,-47.546399
"Nova Rosalândia",-10.565102,-48.912477
"Novo Acordo",-9.964658,-47.6762804
"Colméia",-8.734098,-48.7510897
"Praia Norte",-5.392812,-47.811144
"Pugmil",-10.4255161,-48.8969824
"Recursolândia",-8.7368677,-47.2416349
"Sampaio",-5.354233,-47.878184
"São Bento do Tocantins",-6.021853,-47.900057
"Silvanópolis",-11.1513516,-48.1711295
"Xambioá",-6.4084693,-48.5336069
"Angico",-6.3893733,-47.8656722
"Araguaçu",-12.928934,-49.823134
"Arapoema",-7.6575001,-49.0641484
"Campos Lindos",-7.9740597,-46.8023881
"Caseara",-9.273159,-49.9576837
"Cristalândia",-10.59848,-49.194202
"Esperantina",-5.3658232,-48.5368181
"Filadélfia",-7.3395833,-47.496372
"Marianópolis do Tocantins",-9.7962503,-49.6547174
"Oliveira de Fátima",-10.7091365,-48.9077446
"Presidente Kennedy",-8.5340643,-48.5060747
"Riachinho",-6.4426372,-48.137969
"Santa Fé do Araguaia",-7.150072,-48.6925943
"Babaçulândia",-7.2034355,-47.761613
"Cachoeirinha",-6.118647,-47.9208885
"Crixás do Tocantins",-11.1039404,-48.918827
"Divinópolis do Tocantins",-9.8015722,-49.2143531
"Ipueiras",-11.2408008,-48.4438878
"Itapiratins",-8.3832116,-48.1054968
"Lagoa da Confusão",-10.7883045,-49.6224431
"Lajeado",-9.7548945,-48.3563706
"Luzinópolis",-6.1918183,-47.8562036
"Monte do Carmo",-10.7647456,-48.1121813
"Palmeirópolis",-13.0428105,-48.4065223
"Peixe",-12.0390993,-48.5392455
"Rio dos Bois",-9.3412231,-48.5349207
"Rio Sono",-9.3442508,-47.8998831
"Tocantínia",-9.563198,-48.374104
"Barra do Ouro",-7.7113784,-47.6743925
"Bom Jesus do Tocantins",-8.96306,-48.165043
"Brasilândia do Tocantins",-8.3886619,-48.4842729
"Brejinho de Nazaré",-11.0138265,-48.564626
"Carmolândia",-7.033804,-48.3951295
"Palmeirante",-7.8582335,-47.9264382
"Pindorama do Tocantins",-11.131074,-47.57263
"Piraquê",-6.769831,-48.2945507
"Pium",-10.4421368,-49.1747741
"Sandolândia",-12.5389465,-49.9285958
"Santa Tereza do Tocantins",-10.2816205,-47.8091871
"Goianorte",-8.7720092,-48.9340879
"Pau D'Arco",-7.5416832,-49.3686216
"Ponte Alta do Bom Jesus",-12.0873615,-46.4785732
"São Salvador do Tocantins",-12.7503331,-48.2352148
"Talismã",-12.797836,-49.0929839
"Aparecida do Rio Negro",-9.9513491,-47.9773786
"Arraias",-12.9287788,-46.9437231
"Dois Irmãos do Tocantins",-9.2539897,-49.0665558
"Natividade",-11.7089881,-47.7284165
"Tupirama",-8.9746528,-48.1887392
"Almas",-11.5681309,-47.1702803
"Araguacema",-8.8067391,-49.5560969
"Rio da Conceição",-11.394863,-46.884664
"Chapada de Areia",-10.1417377,-49.1781853
"Conceição do Tocantins",-12.220874,-47.295103
"Itacajá",-8.392935,-47.772615
"Lagoa do Tocantins",-10.2967881,-47.566253
"Novo Alegre",-12.915134,-46.5740939
"Bernardo Sayão",-7.8794244,-48.8968905
"Itaporã do Tocantins",-8.571722,-48.689481
"Lizarda",-9.5955336,-46.675218
"Santa Rosa do Tocantins",-11.447392,-48.121627
"Taipas do Tocantins",-12.193349,-46.9918003
"Tupiratins",-8.3996247,-48.1299635
"Centenário",-8.9586893,-47.3355181
"Jaú do Tocantins",-12.6526649,-48.5922532
"Juarina",-8.1194209,-49.0967459
"Santa Maria do Tocantins",-8.7752144,-47.7482956
"Santa Rita do Tocantins",-10.8643623,-48.9082979
"Combinado",-12.8136581,-46.5461041
"Novo Jardim",-11.8199253,-46.6254107
"Porto Alegre do Tocantins",-11.6070802,-47.052627
"São Valério",-11.974315,-48.235315
"Sucupira",-11.9850885,-48.9113689
"Lavandeira",-12.7887924,-46.5073198
"São Félix do Tocantins",-10.161465,-46.661786
